KOI_R2,KOI_RMSE,KOI_MAPE,KOI_neg_pct,NH4_R2,NH4_RMSE,NH4_MAPE,NH4_neg_pct,PO4_R2,PO4_RMSE,PO4_MAPE,PO4_neg_pct,Config,Seed
0.9423758541667326,3.3866750904574254,2.436150585029626,0.0,0.995551425866636,0.6771532972523917,7.686330577787278,0.0,0.9912031081755855,0.7630806385625526,156.85839373137088,0.0,Full_Model,42
0.942871043122437,3.3720921189376503,2.4035611100625536,0.0,0.9946709093998503,0.7411449149963487,8.726088544538992,0.058997050147492625,0.9909018466398452,0.7760370128097687,73.4410636223002,0.0,Full_Model,123
0.9435514533766484,3.351951031057856,2.425149227373054,0.0,0.9953862605492735,0.6896093067689417,7.419622297668738,0.0,0.9902191550418515,0.8046258780733758,145.5651643631726,0.0,Full_Model,456
0.9423255294299607,3.3881536055414503,2.437042815707195,0.0,0.9955567839377645,0.6767453768058146,7.755485453546189,0.0,0.9912190877439727,0.7623872549222784,158.97922804414506,0.0,No_Physics,42
0.9428059017371269,3.3740140879529825,2.404340224260898,0.0,0.9947178062669754,0.7378766105912393,8.648027631632313,0.058997050147492625,0.9909324998522205,0.774728610064986,76.92117334679453,0.0,No_Physics,123
0.9435094922354949,3.3531966394042785,2.426579007419485,0.0,0.9953902703472315,0.6893095721298386,7.5064979668543375,0.0,0.9902030626597563,0.8052875297783686,145.33882734417665,0.0,No_Physics,456
0.942858134014308,3.372473083735055,2.397127228839138,0.0,0.9948705021455287,0.7271332555491067,9.9630970672782,0.0,0.9903937156366551,0.7974133972484623,168.71753557440925,0.0,No_Variance,42
0.9423667531538331,3.3869425213784488,2.415342943277411,0.0,0.9947626615667593,0.7347369831146363,8.466450836879787,0.058997050147492625,0.9909810851426019,0.7726502549268501,67.5726403901322,0.0,No_Variance,123
0.9432467003579027,3.36098706679489,2.4324205556322283,0.0,0.9954256361449365,0.6866602931205159,7.512394880688915,0.0,0.9904798857321166,0.7938288700064319,154.0746099259377,0.0,No_Variance,456
0.9432913078807471,3.3596659561296347,2.385956190941339,0.0,0.9948277414160268,0.7301577443845122,9.811457338428374,0.0,0.9905987274701663,0.7888585372480057,72.48691248558268,0.058997050147492625,No_Boundary,42
0.9419137139679138,3.400228377640128,2.4405726060420543,0.0,0.9957187236062365,0.664298412346829,7.342427986382694,0.0,0.9916957127841144,0.7414075246933729,43.14005656419601,3.657817109144543,No_Boundary,123
0.9435096657061318,3.3531914909144995,2.426869761349966,0.0,0.9954032757459692,0.6883365131334932,7.401517195428737,0.0,0.9902923782376511,0.8016083492932103,68.20747838094971,2.1238938053097343,No_Boundary,456
