Model,Seed,N_test,COD_neg_count,COD_neg_pct,COD_strict_neg,COD_min_pred,COD_max_neg_mag,NH4_neg_count,NH4_neg_pct,NH4_strict_neg,NH4_min_pred,NH4_max_neg_mag,PO4_neg_count,PO4_neg_pct,PO4_strict_neg,PO4_min_pred,PO4_max_neg_mag
PG_LSTM,42,2604,0,0.0,0,80.86898201386495,0.0,0,0.0,0,0.5594223441763216,0.0,0,0.0,0,0.15686031407986312,0.0
PG_LSTM,123,2604,0,0.0,0,80.9413290416451,0.0,0,0.0,0,0.4990699408588733,0.0,20,0.7680491551459293,19,-0.18776529678590625,0.18776529678590625
PG_LSTM,456,2604,0,0.0,0,81.29473763380187,0.0,0,0.0,0,0.730852642834976,0.0,0,0.0,0,0.11409127843094889,0.0
Vanilla_LSTM,42,2604,0,0.0,0,81.03468800803705,0.0,0,0.0,0,0.4714973350806692,0.0,43,1.651305683563748,36,-0.1676215698635455,0.1676215698635455
Vanilla_LSTM,123,2604,0,0.0,0,81.16335697777663,0.0,0,0.0,0,0.416696167861986,0.0,234,8.986175115207374,175,-0.6045083765682255,0.6045083765682255
Vanilla_LSTM,456,2604,0,0.0,0,81.50011656031035,0.0,0,0.0,0,0.6965691151682881,0.0,65,2.49615975422427,40,-0.07259202345882651,0.07259202345882651
GRU,42,2604,0,0.0,0,81.48875388690348,0.0,0,0.0,0,0.6739175778012592,0.0,254,9.754224270353303,181,-0.3145184947187119,0.3145184947187119
GRU,123,2604,0,0.0,0,81.51298980996302,0.0,0,0.0,0,0.8742469678125474,0.0,61,2.3425499231950844,53,-0.27544978615306515,0.27544978615306515
GRU,456,2604,0,0.0,0,81.77620806111821,0.0,0,0.0,0,0.8314161380849011,0.0,163,6.259600614439324,123,-0.17922266178061882,0.17922266178061882
