Model,Seed,Final_Std_COD,Final_Std_NH4,Final_Std_PO4,Final_COD,Final_NH4,Final_PO4,Initial_COD,ODE_res_final
PG_LSTM,42,0.0,5.329070518200751e-15,8.326672684688674e-17,99.64530136030136,10.0283666455503,0.17386671170209775,90.4353964905307,186.7569122314453
PG_LSTM,123,0.0,1.7763568394002505e-15,5.551115123125783e-17,99.9768712580879,9.824314486909461,0.12248864068532904,90.52633780890893,182.4090576171875
PG_LSTM,456,1.4210854715202004e-14,5.329070518200751e-15,0.0,99.82355026483296,10.394840648442868,0.32297812378134255,90.6632598158245,191.892333984375
Vanilla_LSTM,42,4.263256414560601e-14,3.552713678800501e-15,3.469446951953614e-18,99.68300360094787,10.001625506630608,-0.01795550396206396,90.44772794744156,456.5984191894531
Vanilla_LSTM,123,2.842170943040401e-14,3.552713678800501e-15,5.204170427930421e-18,100.01039343614009,9.809409486033525,-0.010804663593454118,90.53241278481129,2755.454345703125
Vanilla_LSTM,456,4.263256414560601e-14,3.552713678800501e-15,2.7755575615628914e-17,99.82652331847147,10.370125161557619,0.17445895726398886,90.70116534218988,186.88124084472656
