Model,Seed,NoiseSigma,KOI_R2,KOI_RMSE,NH4_R2,NH4_RMSE,PO4_R2,PO4_RMSE,ODE_res_mean
PG_LSTM,42,0.0,0.9374711286970274,3.509640335921808,0.9942693234381095,0.7713395429603138,0.9899440123008694,0.814772481435244,199.6998748779297
PG_LSTM,42,0.05,0.9013677872370116,4.4078997251630545,0.9891819659536092,1.059782684210883,0.981184052609479,1.1145178559830722,199.67694091796875
PG_LSTM,42,0.1,0.8020615915823666,6.244351687995877,0.9732281099636996,1.6671787403674827,0.9507084614233885,1.8038905063726387,199.7565155029297
PG_LSTM,42,0.2,0.4578270456092002,10.334542195692643,0.9066376299993365,3.1133545506163145,0.8310493636273917,3.3396726635808474,200.1856231689453
PG_LSTM,123,0.0,0.9381762887046641,3.4897945028058395,0.9948330101486652,0.7324221192949651,0.9892192518460314,0.8436230477280938,203.12245178222656
PG_LSTM,123,0.05,0.9011201865863094,4.413428926636587,0.9895924104036045,1.0394838026504933,0.9813977078786732,1.1081721098979371,300.5562438964844
PG_LSTM,123,0.1,0.8005391206535014,6.268320338533016,0.9727609035071371,1.6816631064450198,0.9504770760354557,1.8081194798247198,200.04119873046875
PG_LSTM,123,0.2,0.4677632335983325,10.23940577709437,0.9028466573147971,3.175934384048234,0.8254084521238421,3.394967283336637,212.7536163330078
PG_LSTM,456,0.0,0.9383160909738488,3.485846524719526,0.9946956068489656,0.7420966996751363,0.9898487939551402,0.8186208603156632,199.80873107910156
PG_LSTM,456,0.05,0.9012442585444772,4.410659126454667,0.9895891163806153,1.0396482889910406,0.9809642044813763,1.1210100374510046,199.72203063964844
PG_LSTM,456,0.1,0.8001197410261496,6.2749066563556894,0.9732618806861819,1.6661268983639927,0.9493495583989703,1.828586898669111,199.5149688720703
PG_LSTM,456,0.2,0.4587563552936026,10.325681453911944,0.9056965701231392,3.1290059691257706,0.8290959452292913,3.3589239351605764,234.5405731201172
Vanilla_LSTM,42,0.0,0.9368532250546049,3.5269386518365553,0.994242622995386,0.7731343723788335,0.990180308585806,0.8051427856653794,189.9111785888672
Vanilla_LSTM,42,0.05,0.9025318914424152,4.381810454476514,0.9890145272760642,1.0679527106466205,0.9813211042941684,1.1104514726057733,652.739990234375
Vanilla_LSTM,42,0.1,0.8082992421106265,6.145174687184241,0.9727364704789604,1.6824171496703402,0.9507337155915835,1.8034283419514663,368.0552062988281
Vanilla_LSTM,42,0.2,0.48074410118403665,10.11376917267424,0.9054309004486665,3.133410354808999,0.8304652155206037,3.3454411535171578,386.111572265625
Vanilla_LSTM,123,0.0,0.9376500360094758,3.504615856132615,0.9949492846483384,0.7241342579821577,0.9895288542127523,0.8314211898471723,357.6614685058594
Vanilla_LSTM,123,0.05,0.9024371783732402,4.383938914496981,0.9896693432901918,1.035634745049662,0.9814746206106075,1.1058788218789033,2800.507080078125
Vanilla_LSTM,123,0.1,0.8067600655193412,6.16979534919872,0.9727595463423543,1.6817049996391933,0.9501116334314077,1.814778510915125,345.6284484863281
Vanilla_LSTM,123,0.2,0.488162607111166,10.041262563122793,0.9031404192061211,3.1711292235338226,0.8252815772752105,3.3962006126140203,687.2451782226562
Vanilla_LSTM,456,0.0,0.937676321128398,3.5038770509315076,0.9946484253839467,0.74538979033112,0.9901198909580312,0.8076158889498118,212.65992736816406
Vanilla_LSTM,456,0.05,0.9024951997926594,4.38263513820533,0.9895513006652762,1.0415347478460928,0.9811795945292424,1.1146498800489997,338.7942810058594
Vanilla_LSTM,456,0.1,0.8062952318914877,6.177211533002743,0.9732800902001185,1.665559458898671,0.9497545004459579,1.8212626026510559,295.3092346191406
Vanilla_LSTM,456,0.2,0.4792544172781884,10.128266387629315,0.9061020309429324,3.122272089139428,0.8305374749224711,3.3447281277459817,546.8636474609375
