TrainFrac,Model,Seed,N_train,KOI_R2,KOI_RMSE,NH4_R2,NH4_RMSE,PO4_R2,PO4_RMSE,ODE_res_mean
0.1,PG_LSTM,42,613,0.9352202683286466,3.5722503743332044,0.9915857836843782,0.9346510188973819,0.9862160898050224,0.9539161536968803,214.55406188964844
0.1,PG_LSTM,123,613,0.933969359915719,3.6065758613740373,0.9933641300911746,0.830025775404006,0.9856869148387528,0.9720544961752401,200.5409698486328
0.1,PG_LSTM,456,613,0.9362809882142484,3.542883191318351,0.9923534095876032,0.8909976555861527,0.986011731231135,0.9609614589258335,200.7584991455078
0.1,Vanilla_LSTM,42,613,0.933700971915753,3.613898068769477,0.9925921608749901,0.8769774340802765,0.9866966441455326,0.9371402473149714,620.9200439453125
0.1,Vanilla_LSTM,123,613,0.9333313430604191,3.6239581283589475,0.9932476418356414,0.8372793544784061,0.9867555825341479,0.9350620180164955,1309.236572265625
0.1,Vanilla_LSTM,456,613,0.9357019274184599,3.5589451545682973,0.9923098154439294,0.8935338889808115,0.9865443593118653,0.9424887533196892,474.576416015625
0.25,PG_LSTM,42,1533,0.9375048517674565,3.5086937986824034,0.994237741604418,0.7734620538506266,0.9882627318455182,0.880252970162279,200.41786193847656
0.25,PG_LSTM,123,1533,0.9377776302550991,3.501028060759753,0.994447519481933,0.7592523923978244,0.9887139262159776,0.8631681925357434,200.1743927001953
0.25,PG_LSTM,456,1533,0.9372648677141535,3.5154241111416082,0.9945359663150856,0.7531809575774806,0.9889677488046272,0.8534067167733888,199.74522399902344
0.25,Vanilla_LSTM,42,1533,0.9369441790909774,3.524397707323395,0.9942796319073328,0.7706454792812111,0.9887583322134668,0.8614684153292533,228851.6875
0.25,Vanilla_LSTM,123,1533,0.9371948467409675,3.517385410668333,0.9944157555204388,0.7614210151216105,0.9888929558330805,0.8562946589845287,285.3862609863281
0.25,Vanilla_LSTM,456,1533,0.9367458080069351,3.5299371609492645,0.9944763328452543,0.7572798442908049,0.9892077504726067,0.8440729347439796,227.11956787109375
0.5,PG_LSTM,42,3066,0.9375394803766376,3.5077215790352207,0.9942950017802451,0.7696094716421064,0.9888981920714273,0.8560927919784947,201.55377197265625
0.5,PG_LSTM,123,3066,0.9382883318637242,3.486630790138613,0.9954612358981393,0.6864540204768523,0.9898179503943447,0.8198635713728828,199.01609802246094
0.5,PG_LSTM,456,3066,0.9383816984536195,3.483992244953054,0.9953836959823996,0.6922928538080759,0.9894954819028474,0.8327450360547373,199.4539794921875
0.5,Vanilla_LSTM,42,3066,0.9379379951428177,3.49651357352373,0.9955378932127408,0.6806324129624339,0.9900583751654328,0.8101261871475789,193.2280731201172
0.5,Vanilla_LSTM,123,3066,0.9381255805424007,3.4912253841858196,0.9954487914769269,0.6873944389812763,0.989860904851455,0.8181323867724456,210.49224853515625
0.5,Vanilla_LSTM,456,3066,0.9380725380165514,3.492721509270162,0.995427094317924,0.6890310123198701,0.9895555526612742,0.8303605693675429,227.36256408691406
0.75,PG_LSTM,42,4599,0.9391286800765736,3.462810115863762,0.9959593451124077,0.6476919909441856,0.9908208436169313,0.7784404055021656,199.0609130859375
0.75,PG_LSTM,123,4599,0.9401563224613435,3.4334557537063657,0.9959445245389453,0.6488787268811961,0.9914272392984852,0.7522883499173254,194.86631774902344
0.75,PG_LSTM,456,4599,0.93864203956569,3.4766244136221536,0.9952343774752509,0.7034001672379316,0.9901325625365038,0.8070978252591923,199.71917724609375
0.75,Vanilla_LSTM,42,4599,0.9387407669944104,3.473826273260562,0.9959690477977785,0.6469138833210705,0.9910691923715172,0.7678375610433693,196.43292236328125
0.75,Vanilla_LSTM,123,4599,0.9379809721361236,3.495302722660468,0.9952453849984663,0.7025873489991449,0.9901645807506645,0.8057873113431954,321.4366760253906
0.75,Vanilla_LSTM,456,4599,0.9381454082947895,3.490665955106619,0.9951967493109337,0.7061716432289105,0.9903326240372078,0.7988740057467473,1847.26513671875
1.0,PG_LSTM,42,6132,0.9396945252640597,3.446677811754605,0.9951461932738168,0.7098782776516935,0.9910662513953823,0.7679639777213235,198.28302001953125
1.0,PG_LSTM,123,6132,0.9394898461997303,3.4525219346510676,0.9946725501205105,0.7437077952753113,0.9896546337303647,0.8264125833384693,200.74147033691406
1.0,PG_LSTM,456,6132,0.9391491661264882,3.4622273679409967,0.9949621903526292,0.723208503952866,0.9906755952882861,0.7845751406462489,199.23638916015625
1.0,Vanilla_LSTM,42,6132,0.9392141802492325,3.460377320732063,0.9951417374061389,0.710204042379799,0.9912982471312664,0.7579269648993097,293.6502990722656
1.0,Vanilla_LSTM,123,6132,0.9390426448792099,3.465256410404171,0.9945580287618891,0.751658838243003,0.9900437562264945,0.8107216046407946,611.7935180664062
1.0,Vanilla_LSTM,456,6132,0.9386207402517666,3.4772277851253266,0.9949238587120274,0.7259546612881478,0.9908087849039413,0.7789515586041184,6240.46533203125
